sample_id+B34A53A1:B46A1:B47A5A1:B69,sample_type,,
AMC1_merged.non.host.kraken2,No,,
AMC11_merged.non.host.kraken2,No,,
AMC21_merged.non.host.kraken2,No,,
AMC31_merged.non.host.kraken2,No,,
AMC41_merged.non.host.kraken2,No,,
AMC51_merged.non.host.kraken2,No,,
AMC61_merged.non.host.kraken2,No,,
AMC71_merged.non.host.kraken2,No,,
AMC2_merged.non.host.kraken2,Ab,,
AMC12_merged.non.host.kraken2,Ab,,
AMC22_merged.non.host.kraken2,Ab,,
AMC32_merged.non.host.kraken2,Ab,,
AMC42_merged.non.host.kraken2,Ab,,
AMC52_merged.non.host.kraken2,Ab,,
AMC62_merged.non.host.kraken2,Ab,,
AMC72_merged.non.host.kraken2,Ab,,
AMC3_merged.non.host.kraken2,No,,
AMC13_merged.non.host.kraken2,No,,
AMC23_merged.non.host.kraken2,No,,
AMC33_merged.non.host.kraken2,No,,
AMC43_merged.non.host.kraken2,No,,
AMC53_merged.non.host.kraken2,No,,
AMC63_merged.non.host.kraken2,No,,
AMC73_merged.non.host.kraken2,No,,
AMC4_merged.non.host.kraken2,Ab,,
AMC14_merged.non.host.kraken2,Ab,,
AMC24_merged.non.host.kraken2,Ab,,
AMC38_merged.non.host.kraken2,Ab,,
AMC44_merged.non.host.kraken2,Ab,,
AMC54_merged.non.host.kraken2,Ab,,
AMC64_merged.non.host.kraken2,Ab,,
AMC74_merged.non.host.kraken2,Ab,,
AMC5_merged.non.host.kraken2,No,,
AMC15_merged.non.host.kraken2,No,,
AMC25_merged.non.host.kraken2,No,,
AMC37_merged.non.host.kraken2,No,,
AMC45_merged.non.host.kraken2,No,,
AMC55_merged.non.host.kraken2,No,,
AMC65_merged.non.host.kraken2,No,,
AMC75_merged.non.host.kraken2,No,,
AMC10_merged.non.host.kraken2,Ab,,
AMC20_merged.non.host.kraken2,Ab,,
AMC26_merged.non.host.kraken2,Ab,,
AMC36_merged.non.host.kraken2,Ab,,
AMC46_merged.non.host.kraken2,Ab,,
AMC56_merged.non.host.kraken2,Ab,,
AMC66_merged.non.host.kraken2,Ab,,
AMC76_merged.non.host.kraken2,Ab,,
AMC91_merged.non.host.kraken2,Ab,,
AMC92_merged.non.host.kraken2,Ab,,
AMC93_merged.non.host.kraken2,Ab,,
AMC94_merged.non.host.kraken2,Ab,,
AMC95_merged.non.host.kraken2,Ab,,
AMC96_merged.non.host.kraken2,Ab,,
AMC97_merged.non.host.kraken2,Ab,,
AMC98_merged.non.host.kraken2,Ab,,
AMC6_merged.non.host.kraken2,No,,
AMC16_merged.non.host.kraken2,No,,
AMC27_merged.non.host.kraken2,No,,
AMC34_merged.non.host.kraken2,No,,
AMC47_merged.non.host.kraken2,No,,
AMC57_merged.non.host.kraken2,No,,
AMC68_merged.non.host.kraken2,No,,
AMC77_merged.non.host.kraken2,No,,
AMC7_merged.non.host.kraken2,Ab,,
AMC17_merged.non.host.kraken2,Ab,,
AMC28_merged.non.host.kraken2,Ab,,
AMC35_merged.non.host.kraken2,Ab,,
AMC48_merged.non.host.kraken2,Ab,,
AMC58_merged.non.host.kraken2,Ab,,
AMC67_merged.non.host.kraken2,Ab,,
AMC78_merged.non.host.kraken2,Ab,,
AMC8_merged.non.host.kraken2,Ab,,
AMC18_merged.non.host.kraken2,Ab,,
AMC29_merged.non.host.kraken2,Ab,,
AMC39_merged.non.host.kraken2,Ab,,
AMC49_merged.non.host.kraken2,Ab,,
AMC59_merged.non.host.kraken2,Ab,,
AMC69_merged.non.host.kraken2,Ab,,
AMC79_merged.non.host.kraken2,Ab,,
AMC9_merged.non.host.kraken2,No,,
AMC19_merged.non.host.kraken2,No,,
AMC30_merged.non.host.kraken2,No,,
AMC40_merged.non.host.kraken2,No,,
AMC50_merged.non.host.kraken2,No,,
AMC60_merged.non.host.kraken2,No,,
AMC70_merged.non.host.kraken2,No,,
AMC80_merged.non.host.kraken2,No,,
AMC550_merged.non.host.kraken2,blank,,
AMC551_merged.non.host.kraken2,blank,,
AMC552_merged.non.host.kraken2,control,,
