"Class","AMC24","AMC29","AMC2","AMC23","AMC25","AMC21","AMC26","AMC28","AMC20","AMC22","AMC27","AMC33","AMC34","AMC36","AMC30","AMC35","AMC37","AMC32","AMC39","AMC38","AMC3","AMC31","AMC46","AMC43","AMC48","AMC40","AMC45","AMC42","AMC49","AMC4","AMC47","AMC44","AMC41","AMC51","AMC53","AMC55","AMC50","AMC5","AMC54","AMC59","AMC58","AMC56","AMC52","AMC57","AMC65","AMC66","AMC61","AMC62","AMC67","AMC60","AMC63","AMC68","AMC69","AMC6","AMC64","AMC71","AMC78","AMC77","AMC79","AMC74","AMC76","AMC7","AMC72","AMC70","AMC75","AMC73","AMC92","AMC9","AMC98","AMC96","AMC8","AMC80","AMC94","AMC95","AMC97","AMC93","AMC91","AMC10","AMC1","AMC18","AMC19","AMC16","AMC12","AMC14","AMC11","AMC13","AMC15","AMC17","Broadclass","unique"
"Acetate_resistance",0,0.0238095238095238,0,0,0,0.00854700854700855,0.0326382592928377,0,0.0363636363636364,0,0,0.000386922035209905,0,0,0,0,0.00294985250737463,0.000458820830465703,0.0459770114942529,0,0.0210526315789474,0,0.0170454545454545,0.000427076660260517,0.0303030303030303,0.000165371258475277,0.000426212040490144,0,0.0198895027624309,0,0,0,0,0,0,0,0.0142348754448399,0.0148975791433892,0,0,0,0.0170940170940171,0,0,0.0490430622009569,0,0.0217391304347826,0.0343450479233227,0.00284900284900285,0,0.0140845070422535,0,0,0.000177825197830533,0.0225563909774436,0.00779727095516569,0.0412844036697248,0.0399385560675883,0.0243632336655592,0.0368239355581128,0.0170777988614801,0,0,0.0178571428571429,0.05,0.00383141762452107,0,0,0,0.000172622130157086,0.0212765957446809,0,0,0.000176631634725779,9.74563882662509e-05,0,0.000120496445354862,0.0257201646090535,0,0.036322360953462,0.0625,0,0,0.0275387263339071,0.0204081632653061,0.0384615384615385,0,0,"Biocides","Acetate_resistance"
"Acid Resistance",0.00100857286938981,0,0.0129032258064516,0,0.000815660685154976,0.00427350427350427,0.0253853127833182,0.000631811720107408,0.0484848484848485,0.00142450142450142,0.000925830675856393,0.00077384407041981,0,0.00142734798743934,0.00107604017216643,0,0,0.000917641660931406,0.0229885057471264,0.0017046944662995,0.0210526315789474,0,0.023538961038961,0.000427076660260517,0.0151515151515152,0.00148834132627749,0.000639318060735216,0.00218221494817239,0.0364640883977901,0.00151369203247557,0.00115451221858765,0.00174003828084218,0.0202020202020202,0,0.000734484024972457,0.00124843945068664,0.0213523131672598,0.0223463687150838,0.00126885661920203,0.0031055900621118,0.0283018867924528,0.0341880341880342,0.000447527411053927,0.00108794197642792,0.0167464114832536,0,0.0217391304347826,0.0343450479233227,0.00284900284900285,0.00147492625368732,0.0187793427230047,0.00255754475703325,0.000215100021510002,0.00142260158264426,0.0345864661654135,0.0116959064327485,0.0302752293577982,0.0245775729646697,0.0310077519379845,0.0161104718066743,0.0227703984819734,0,0,0,0,0.0229885057471264,0.00107758620689655,0.000984251968503937,0.000760263558033452,0.000863110650785431,0,0,0.00140712945590994,0.00105978980835468,0.00131566124159439,0.0014645412043035,0.000963971562838896,0.0298353909465021,0.00199401794616152,0.0249716231555051,0,0.00183823529411765,0,0.0137693631669535,0.0816326530612245,0.0384615384615385,0.00118670886075949,0.00186915887850467,"Biocides","Acid Resistance"
"Aminocoumarins",0.00252143217347453,0,0.0129032258064516,0.00560747663551402,0.00448613376835237,0.0213675213675214,0.00362647325475975,0.00600221134102038,0,0.00587606837606838,0.00493776360456743,0.00483652544012382,0,0.00371110476734228,0.00448350071736011,0.00469641060046964,0.0103244837758112,0.00504702913512273,0.0229885057471264,0.004720692368214,0,0,0.00162337662337662,0.00448430493273543,0.0151515151515152,0.0053745659004465,0.00575386254661694,0.00927441352973268,0.00110497237569061,0.00412825099766066,0.00442563017125265,0.00539411867061075,0,0,0.00697759823723834,0.00374531835205993,0.00711743772241993,0,0.00514591851120823,0.005175983436853,0.00943396226415094,0,0.00604162004922802,0.00471441523118767,0.00239234449760766,0.00429414922168545,0,0.00319488817891374,0.00854700854700855,0.00497787610619469,0,0.0140664961636829,0.00548505054850505,0.00435671734684805,0.00300751879699248,0.00389863547758285,0,0,0,0.00230149597238205,0,0,0.00698080279232112,0,0,0.0114942528735632,0.00457974137931034,0.00508530183727034,0.00620881905727319,0.0050060417745555,0,0,0.00390869293308318,0.00618210721540228,0.00399571191891628,0.0037740100264744,0.00433787203277503,0,0.00538384845463609,0,0,0.00183823529411765,0.0105664299324441,0,0,0,0.00593354430379747,0.00630841121495327,"Drugs","Aminocoumarins"
"Aminoglycosides",0.0746343923348462,0.119047619047619,0.109677419354839,0.0717757009345794,0.0634176182707994,0.126068376068376,0.0961015412511333,0.0628652661506871,0.0121212121212121,0.066951566951567,0.0713918321160375,0.0706132714258077,0.0307692307692308,0.073365686554382,0.0663558106169297,0.0707816169070782,0.0973451327433628,0.0646937370956641,0.0689655172413793,0.0730396013637556,0.105263157894737,0.0579710144927536,0.0503246753246753,0.0715353405936366,0.053030303030303,0.0737555812799736,0.0708577517314864,0.0621931260229132,0.0662983425414365,0.0736892803082427,0.0617664036944391,0.0666434661562554,0.0606060606060606,0.188679245283019,0.0725302974660301,0.0593008739076155,0.0284697508896797,0.0651769087523277,0.0655575919921049,0.0719461697722567,0.0518867924528302,0.0256410256410256,0.0644439471917655,0.0781504986400725,0.0741626794258373,0.0772946859903382,0.0434782608695652,0.0431309904153355,0.115384615384615,0.0737463126843658,0.028169014084507,0.101023017902813,0.0699075069907507,0.0701075842446875,0.0571428571428571,0.0467836257309941,0.0605504587155963,0.0599078341013825,0.0653377630121816,0.0632911392405063,0.0426944971537002,0.0862068965517241,0.0831878999418267,0.0714285714285714,0.05,0.0804597701149425,0.0720635775862069,0.0810367454068241,0.0660162189559047,0.0635249438978077,0.106382978723404,0.0886075949367089,0.0697310819262039,0.068886337543054,0.0702660559399669,0.0682138230158283,0.06988793830582,0.0668724279835391,0.080159521435693,0.0658342792281498,0.0625,0.0689338235294117,0.0853975402736879,0.0654044750430293,0.0714285714285714,0.0384615384615385,0.0731803797468355,0.0719626168224299,"Drugs","Aminoglycosides"
"Arsenic Resistance",0.0100857286938981,0,0,0.0108411214953271,0.00999184339314845,0.00427350427350427,0.0389845874886673,0.00884536408150371,0.0121212121212121,0.00623219373219373,0.00853821623289785,0.00870574579222287,0,0.00899229232086783,0.0077116212338594,0.00905736330090573,0.0206489675516224,0.00963523743977977,0.0459770114942529,0.00931025439286651,0.0526315789473684,0,0.0478896103896104,0.0102498398462524,0.00757575757575758,0.00777244914833802,0.00937666489078316,0.0114566284779051,0.0342541436464088,0.00970138984450255,0.0107754473734847,0.0104402296850531,0.0202020202020202,0.0188679245283019,0.00863018729342637,0.00842696629213483,0.0391459074733096,0.0484171322160149,0.0100803609192161,0.015527950310559,0.00471698113207547,0.0341880341880342,0.00760796598791676,0.0119673617407072,0.0287081339712919,0.00966183574879227,0,0.0463258785942492,0.0156695156695157,0.00967920353982301,0.0375586854460094,0.0115089514066496,0.0097870509787051,0.00915799768827243,0.0225563909774436,0.0331384015594542,0.0504587155963303,0.0245775729646697,0.0199335548172757,0.0437284234752589,0.0351043643263757,0.0344827586206897,0.0104712041884817,0,0.05,0.0153256704980843,0.00848599137931035,0.0123031496062992,0.00912316269640142,0.0101847056792681,0.0106382978723404,0.0253164556962025,0.0104752970606629,0.0117460037092643,0.00945326966182633,0.00878724722582099,0.00982046029642126,0.0308641975308642,0.00997008973080758,0.0408626560726447,0.125,0.00919117647058824,0.00225186211675039,0.0206540447504303,0.0408163265306122,0,0.00929588607594937,0.0114485981308411,"Metals","Arsenic Resistance"
"Bacitracin",0,0.0238095238095238,0.0129032258064516,0.000747663551401869,0.00122349102773246,0,0.00634632819582956,0.000947717580161112,0,0.00178062678062678,0.00123444090114186,0.00232153221125943,0,0.000570939194975735,0.00143472022955524,0,0,0.00137646249139711,0,0.0011801730920535,0,0,0.00162337662337662,0,0,0.00132297006780222,0.000213106020245072,0.0010911074740862,0.00441988950276243,0.00116967111600385,0.00115451221858765,0.000696015312336871,0,0,0.00146896804994491,0,0.00711743772241993,0.0037243947858473,0.000704920344001128,0,0.00943396226415094,0,0,0,0.0119617224880383,0.00107353730542136,0,0.00958466453674121,0.0056980056980057,0.00110619469026549,0.00469483568075117,0.00255754475703325,0.000645300064530006,0.000978038588067929,0.00300751879699248,0,0.00642201834862385,0.010752688172043,0,0.0046029919447641,0.00379506641366224,0,0,0,0,0,0.000808189655172414,0.000984251968503937,0.000760263558033452,0.00112204384602106,0,0,0.000938086303939962,0.000529894904177338,0.000974563882662509,0.00101391314144088,0.000421737558742017,0.00308641975308642,0.00159521435692921,0.00454029511918275,0,0,0.00173220162826953,0,0,0,0.00197784810126582,0.00186915887850467,"Drugs","Bacitracin"
"Betalactams",0.16036308623298,0.25,0.154838709677419,0.14392523364486,0.153752039151713,0.136752136752137,0.0661831368993654,0.168061917548571,0.0606060606060606,0.15491452991453,0.163460549326201,0.16173341071774,0.230769230769231,0.16728518412789,0.160688665710187,0.160516605166052,0.141592920353982,0.178481303051158,0.183908045977011,0.164830841856806,0.0842105263157895,0,0.075487012987013,0.153534059363656,0.174242424242424,0.165702000992228,0.150559403303143,0.13911620294599,0.0640883977900552,0.166643731938902,0.155474312103136,0.142683139029059,0.171717171717172,0.0754716981132075,0.158648549394051,0.141697877652934,0.106761565836299,0.0782122905027933,0.162977583533061,0.13871635610766,0.0613207547169811,0.094017094017094,0.159991049451779,0.146690843155032,0.0538277511961722,0.146001073537305,0.130434782608696,0.0630990415335463,0.132478632478632,0.169616519174041,0.0563380281690141,0.159846547314578,0.157130565713057,0.16115408553392,0.0706766917293233,0.0935672514619883,0.0706422018348624,0.0691244239631336,0.0686600221483942,0.0586881472957422,0.0986717267552182,0.103448275862069,0.152995927865038,0.125,0.05,0.130268199233716,0.161907327586207,0.168143044619423,0.165990876837304,0.158121871223891,0.0531914893617021,0.139240506329114,0.168855534709193,0.160381524331008,0.16791735698275,0.168872866557765,0.169719243282323,0.0740740740740741,0.158524426719841,0.0749148694665153,0.0625,0.136948529411765,0.100987354928114,0.0654044750430293,0.0612244897959184,0.0961538461538462,0.161985759493671,0.154439252336449,"Drugs","Betalactams"
"Biguanide_resistance",0.00100857286938981,0,0,0.00149532710280374,0.000815660685154976,0,0.00181323662737987,0.000631811720107408,0,0.00106837606837607,0.00020574015019031,0.00077384407041981,0,0.00114187838995147,0.000896700143472023,0.00100637370010064,0,0.000917641660931406,0,0.0003933910306845,0,0,0,0.00128122998078155,0,0.000661485033901108,0.000639318060735216,0.00218221494817239,0.00220994475138122,0.00096325856612082,0.000384837406195882,0.00174003828084218,0,0,0.000734484024972457,0.00187265917602996,0,0.00186219739292365,0.000563936275200902,0.0020703933747412,0,0,0.000895054822107854,0.00108794197642792,0,0.00107353730542136,0,0,0,0.000184365781710914,0,0,0.000860400086040009,0.000622388192406864,0,0.00389863547758285,0,0,0,0.00230149597238205,0,0,0.00116346713205352,0,0,0,0.00134698275862069,0.000984251968503937,0.000760263558033452,0.00103573278094252,0,0,0.00101626016260163,0.000706526538903118,0.000584738329597505,0.000675942094293922,0.00060248222677431,0,0.000398803589232303,0,0,0.00367647058823529,0.000346440325653906,0,0,0,0.000395569620253165,0.00186915887850467,"Biocides","Biguanide_resistance"
"Biocide_and_metal_resistance",0.0221886031265759,0,0.0129032258064516,0.0186915887850467,0.0157014681892333,0.0256410256410256,0.0308250226654578,0.0194282103933028,0.0606060606060606,0.0249287749287749,0.0204711449439358,0.0218610949893596,0,0.0225520982015415,0.0199067431850789,0.0192888292519289,0.0191740412979351,0.0135352144987382,0.0459770114942529,0.020194072908471,0.0421052631578947,0,0.0413961038961039,0.0196455263719838,0.0303030303030303,0.019431122870845,0.0223761321257325,0.0272776868521549,0.0375690607734807,0.0208476675381863,0.0240523378872426,0.0196624325735166,0.0202020202020202,0.0377358490566038,0.0198310686742563,0.0249687890137328,0.0284697508896797,0.0279329608938548,0.0191738333568307,0.0201863354037267,0.00943396226415094,0.0555555555555556,0.0201387334974267,0.0188576609247507,0.0322966507177034,0.011808910359635,0.0217391304347826,0.0343450479233227,0.0142450142450142,0.0229535398230088,0.0469483568075117,0.00767263427109974,0.0207571520757152,0.020360985151596,0.0240601503759398,0.0233918128654971,0.0422018348623853,0.0245775729646697,0.0431893687707641,0.0391254315304948,0.0360531309297913,0.0344827586206897,0.0191972076788831,0,0.05,0.0153256704980843,0.0171066810344828,0.0145997375328084,0.0215408008109478,0.0206283445537718,0.0425531914893617,0.0253164556962025,0.0211851156973108,0.0201360063587388,0.0199785595945814,0.0190953641638033,0.0192794312567779,0.0267489711934156,0.0167497507477567,0.0249716231555051,0.0625,0.0110294117647059,0.00675558635025117,0.0309810671256454,0,0.00961538461538462,0.0174050632911392,0.0151869158878505,"Multi-compound","Biocide_and_metal_resistance"
"Cadmium_resistance",0,0,0,0,0,0,0,0.000315905860053704,0,0,0.00020574015019031,0,0,0,0,0.000335457900033546,0,0.000458820830465703,0,0.00019669551534225,0,0,0,0,0,0.000165371258475277,0.000426212040490144,0,0,0.000275216733177377,0,0,0,0,0.000367242012486228,0.000624219725343321,0,0.0037243947858473,0.000140984068800226,0,0,0,0,0.000362647325475975,0,0,0,0,0,0.000184365781710914,0,0,0.000645300064530006,0.000311194096203432,0,0,0,0,0,0,0,0,0,0,0,0,0.000269396551724138,0.000328083989501312,0,0.000345244260314172,0,0,0.000390869293308318,0.000529894904177338,0.000341097358931878,0.000225314031431307,0.000240992890709724,0,0,0,0,0,0.000866100814134765,0,0,0,0.000395569620253165,0,"Metals","Cadmium_resistance"
