"Age_wk","Trt","variable","n","mean","sd"
"1","1","Observed",6,249,269.928
"11","1","Observed",6,344.167,221.524
"13","1","Observed",6,336.833,192.276
"15","1","Observed",6,260.167,140.45
"3","1","Observed",6,286.667,182.532
"5","1","Observed",6,357,205.143
"7","1","Observed",6,432,198.519
"9","1","Observed",6,302.667,194.938
"1","3","Observed",5,350.6,241.907
"11","3","Observed",5,387.2,196.509
"13","3","Observed",5,109.2,81.263
"15","3","Observed",5,109.8,76.956
"3","3","Observed",5,164.6,191.687
"5","3","Observed",5,391.4,144.621
"7","3","Observed",5,258.6,252.857
"9","3","Observed",5,322.4,229.938
