"Age_wk","Trt","variable","n","mean","sd"
"1","1","Shannon",6,4.542,0.979
"11","1","Shannon",6,5.137,0.653
"13","1","Shannon",6,5.235,0.381
"15","1","Shannon",6,5.059,0.348
"3","1","Shannon",6,4.777,0.715
"5","1","Shannon",6,5.111,0.852
"7","1","Shannon",6,5.297,0.767
"9","1","Shannon",6,5.072,0.647
"1","3","Shannon",5,5.036,0.848
"11","3","Shannon",5,5.22,0.805
"13","3","Shannon",5,4.184,0.775
"15","3","Shannon",5,4.204,0.945
"3","3","Shannon",5,4.197,1.205
"5","3","Shannon",5,5.404,0.355
"7","3","Shannon",5,4.575,1.111
"9","3","Shannon",5,4.998,0.885
