"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"5 vs 1",1,0.132084235511112,0.407884860231478,0.0391899858337217,0.825,1,""
"5 vs 3",1,0.0855834521547377,0.137451454370103,0.013558778060619,0.885,1,""
"5 vs 7",1,0.110471812946981,0.584841423922767,0.0552527336499315,0.734,1,""
"5 vs 9",1,0.181069855288728,0.511452713241239,0.0486567106558891,0.589,1,""
"5 vs 11",1,0.23759685899526,0.893463914010021,0.0820183479802914,0.322,1,""
"5 vs 13",1,0.14118231637287,0.415394795426079,0.0398827700327307,0.667,1,""
"5 vs 15",1,0.951342345806309,3.05220551304518,0.23384595883007,0.08,1,""
"1 vs 3",1,0.055630615647381,0.0922461863687768,0.00914030282905409,0.899,1,""
"1 vs 7",1,0.149486447407587,0.882895791510253,0.0811269177270814,0.556,1,""
"1 vs 9",1,0.0752833280472186,0.225094304930688,0.0220139099178913,0.756,1,""
"1 vs 11",1,0.0269627278075768,0.109449015811281,0.0108264076153015,0.868,1,""
"1 vs 13",1,0.0387633110846434,0.121023051888335,0.0119575907759399,0.9,1,""
"1 vs 15",1,0.515012323191374,1.76306439566335,0.149881386036902,0.145,1,""
"3 vs 7",1,0.251256359799441,0.53672176932483,0.0509382121949322,0.609,1,""
"3 vs 9",1,0.0210823315399802,0.0332912174004669,0.00331807546288807,0.907,1,""
"3 vs 11",1,0.133791548788769,0.245413727206787,0.0239535204474065,0.656,1,""
"3 vs 13",1,0.0105835377100138,0.0170946342834421,0.00170654615011181,0.901,1,""
"3 vs 15",1,0.467427647132326,0.791003799065293,0.0733021518474314,0.443,1,""
"7 vs 9",1,0.352731137614845,1.76792486600132,0.150232507951256,0.244,1,""
"7 vs 11",1,0.177239841365808,1.59081754363918,0.137248087777224,0.213,1,""
"7 vs 13",1,0.286213162360635,1.5440803379355,0.133755162190047,0.329,1,""
"7 vs 15",1,1.20576165471841,7.67137736917857,0.434113154221841,0.032,0.896,""
"9 vs 11",1,0.123677746209571,0.4472119039986,0.0428068185184827,0.572,1,""
"9 vs 13",1,0.0141467352480501,0.0403615661181677,0.00401993153855836,0.852,1,""
"9 vs 15",1,0.312807998723668,0.970503204913222,0.0884647847765611,0.479,1,""
"11 vs 13",1,0.101151885246401,0.385491146969014,0.0371182394278501,0.599,1,""
"11 vs 15",1,0.513795513164409,2.1937148207029,0.179905373625627,0.099,1,""
"13 vs 15",1,0.365772154611275,1.18695610214868,0.106101793133943,0.323,1,""
