"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"5 vs 7",1,0.039245290401938,0.281219212421821,0.0339586726553491,0.827,1,""
"5 vs 1",1,0.292682234174161,2.7843501562595,0.258184324128552,0.177,1,""
"5 vs 9",1,0.131160727170805,1.07830541401378,0.118778270264983,0.347,1,""
"5 vs 11",1,0.0577365921496287,1.14974652705848,0.125658839144707,0.381,1,""
"5 vs 13",1,0.598036586853687,2.0315193064161,0.202513621751867,0.178,1,""
"5 vs 15",1,1.08690641211619,4.77758521661695,0.373903608203201,0.042,1,""
"5 vs 3",1,1.93011970348113,5.44319507139724,0.404903376205452,0.02,0.56,""
"7 vs 1",1,0.147897412696726,0.811103177585618,0.0920546679840234,0.517,1,""
"7 vs 9",1,0.0320368740473969,0.161102542266046,0.0197402913922111,0.835,1,""
"7 vs 11",1,0.030262083211579,0.237459614662423,0.0288268016804298,0.787,1,""
"7 vs 13",1,0.454164761932606,1.22217683439307,0.132525851145588,0.23,1,""
"7 vs 15",1,0.778089736794625,2.55341299731489,0.241951395057178,0.118,1,""
"7 vs 3",1,1.5392823921117,3.56466106900809,0.308237400796895,0.048,1,""
"1 vs 9",1,0.0980411566546626,0.596274181296943,0.0693642581333977,0.496,1,""
"1 vs 11",1,0.10843552417137,1.1659260743018,0.127202212286075,0.297,1,""
"1 vs 13",1,0.133003169459835,0.394473900388818,0.0469920932591794,0.643,1,""
"1 vs 15",1,0.291888262930002,1.07991500568504,0.118934483969167,0.34,1,""
"1 vs 3",1,0.761397902441684,1.91604424392426,0.193226673539527,0.209,1,""
"9 vs 11",1,0.0561649935897645,0.512815287873275,0.0602403870554778,0.711,1,""
"9 vs 13",1,0.438830912263742,1.24073926866114,0.134268399160331,0.29,1,""
"9 vs 15",1,0.654706109914062,2.28273895965055,0.221997171046354,0.131,1,""
"9 vs 3",1,1.35493059126648,3.27357620418291,0.290376021316846,0.089,1,""
"11 vs 13",1,0.34518045123561,1.22289123525052,0.132593045288938,0.37,1,""
"11 vs 15",1,0.738871662320026,3.43042023172986,0.300113220877681,0.073,1,""
"11 vs 3",1,1.41403894308888,4.12882153891238,0.340414072848385,0.056,1,""
"13 vs 15",1,0.191892268336169,0.41756534573442,0.0496064275813458,0.614,1,""
"13 vs 3",1,0.450449939350839,0.76784439750304,0.0875750484031984,0.463,1,""
"15 vs 3",1,0.150052262915557,0.288692820424037,0.0348297164195389,0.712,1,""
