"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"3 vs 1",1,575.051373284853,0.630850239010791,0.0826710286863879,0.488,1,""
"3 vs 5",1,727.165103666281,1.0135314527987,0.126477503553658,0.248,1,""
"3 vs 7",1,683.214148706098,0.717806271384139,0.0930065158600315,0.5,1,""
"3 vs 9",1,706.828560508374,0.808742447868294,0.118780002924255,0.245,1,""
"3 vs 11",1,739.418938365842,0.967390127937684,0.121418697014161,0.323,1,""
"3 vs 13",1,1675.85925770197,2.05877381261631,0.255469859371561,0.09,1,""
"3 vs 15",1,1928.06868441073,2.23478393613559,0.271383433186266,0.029,0.812,""
"1 vs 5",1,423.53850904671,0.686595301015515,0.0790407837850174,0.462,1,""
"1 vs 7",1,1088.33249673949,1.32412549822539,0.142010690276252,0.231,1,""
"1 vs 9",1,363.322959059874,0.493199942664835,0.0658196693587008,0.709,1,""
"1 vs 11",1,470.664546438567,0.715410810474032,0.082085724474888,0.389,1,""
"1 vs 13",1,2433.81414890289,3.55168403491989,0.336598785858816,0.043,1,""
"1 vs 15",1,2573.18986189935,3.53927712647773,0.335817825454654,0.025,0.7,""
"5 vs 7",1,1109.5468705916,1.7015131084387,0.175386363902211,0.102,1,""
"5 vs 9",1,208.668664857957,0.384591821679455,0.0520803086976835,0.532,1,""
"5 vs 11",1,157.16897969703,0.32202612101308,0.0386956392986998,0.69,1,""
"5 vs 13",1,2796.97254534574,5.69458540726607,0.448583803611784,0.02,0.56,""
"5 vs 15",1,2935.37809178673,5.50784038712159,0.440351029166683,0.023,0.644,""
"7 vs 9",1,900.954626876234,1.15964400949383,0.142119436600981,0.301,1,""
"7 vs 11",1,1010.46483770756,1.45784861602107,0.154141673778914,0.235,1,""
"7 vs 13",1,954.755078658716,1.3159684179794,0.158245961484682,0.356,1,""
"7 vs 15",1,1260.77215854036,1.643134344693,0.190108620225475,0.168,1,""
"9 vs 11",1,175.953521206218,0.298500016270114,0.0408988169630315,0.652,1,""
"9 vs 13",1,2170.05179596549,3.55760297652884,0.372227532914419,0.144,1,""
"9 vs 15",1,2310.33238352323,3.507298529498,0.368905900936635,0.116,1,""
"11 vs 13",1,2620.43198883225,4.87023210771051,0.410289543078687,0.038,1,""
"11 vs 15",1,2833.87796131593,4.88740698639206,0.411141554418626,0.02,0.56,""
"13 vs 15",1,614.99577565708,1.0271413367738,0.146167735576721,0.395,1,""
