"Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet","SampleBinary","is.neg","SampleID"
"AMC20","373",AMC12,363,"3","1","Ab","Sample",FALSE,"AMC20"
"AMC11","361",AMC13,365,"3","3","No","Sample",FALSE,"AMC11"
"AMC12","363",AMC12,363,"3","1","Ab","Sample",FALSE,"AMC12"
"AMC13","365",AMC13,365,"3","3","No","Sample",FALSE,"AMC13"
"AMC14","369",AMC12,363,"3","1","Ab","Sample",FALSE,"AMC14"
"AMC15","371",AMC13,365,"3","3","No","Sample",FALSE,"AMC15"
"AMC16","384",AMC12,363,"3","3","No","Sample",FALSE,"AMC16"
"AMC17","387",AMC13,365,"3","1","Ab","Sample",FALSE,"AMC17"
"AMC18","396",AMC12,363,"3","1","Ab","Sample",FALSE,"AMC18"
"AMC1","361",AMC13,365,"1","3","No","Sample",FALSE,"AMC1"
