"Diet","Age_wk","Genus","Mean_RelAbund"
"Ab","1","Alistipes",0.00352534579910495
"Ab","1","Bacteroides",0.0107131831756796
"Ab","1","Bifidobacterium",0.026333478837799
"Ab","1","Bosea",0.0545632809329921
"Ab","1","Bradyrhizobium",0.034041700141391
"Ab","1","Corynebacterium",0.0529498762872849
"Ab","1","Mesorhizobium",0.102700382792223
"Ab","1","Microbacterium",0.147224618301482
"Ab","1","Parafannyhessea",0.0102323599567891
"Ab","1","Ralstonia",0.0339324180533665
"Ab","1","Sphingomonas",0.0243729492763882
"Ab","1","Streptococcus",0.00830707619453191
"Ab","11","Alistipes",0.0386236015667705
"Ab","11","Bacteroides",0.00811217558696444
"Ab","11","Bifidobacterium",0.0137627093419844
"Ab","11","Bosea",0.0516036335528027
"Ab","11","Bradyrhizobium",0.0352867261881855
"Ab","11","Corynebacterium",0.042738660041842
"Ab","11","Mesorhizobium",0.117955836409467
"Ab","11","Microbacterium",0.211942118853086
"Ab","11","Parafannyhessea",0.0583467032364297
"Ab","11","Ralstonia",0.06226531911245
"Ab","11","Sphingomonas",0.0277186024739867
"Ab","11","Streptococcus",0.00519188631766986
"Ab","13","Alistipes",0.0130176646770012
"Ab","13","Bacteroides",0.00749512390317638
"Ab","13","Bifidobacterium",0.00915924517805612
"Ab","13","Bosea",0.0398942005435667
"Ab","13","Bradyrhizobium",0.0279645431193435
"Ab","13","Corynebacterium",0.0321197520607912
"Ab","13","Mesorhizobium",0.0905416353555128
"Ab","13","Microbacterium",0.161724344271789
"Ab","13","Parafannyhessea",0.0475112032930667
"Ab","13","Ralstonia",0.0450954558293118
"Ab","13","Sphingomonas",0.0216291811256728
"Ab","13","Streptococcus",0.156868786345572
"Ab","15","Alistipes",0.0114019468612164
"Ab","15","Bacteroides",0.00988205416809514
"Ab","15","Bifidobacterium",0.00369445671836573
"Ab","15","Bosea",0.0262017480100675
"Ab","15","Bradyrhizobium",0.0192297775486527
"Ab","15","Corynebacterium",0.0108105245439716
"Ab","15","Mesorhizobium",0.0542868407844845
"Ab","15","Microbacterium",0.121371389713248
"Ab","15","Parafannyhessea",0.014365513518944
"Ab","15","Ralstonia",0.0327812306069835
"Ab","15","Sphingomonas",0.0173675224834496
"Ab","15","Streptococcus",0.162459112965023
"Ab","3","Alistipes",0.0132635486209279
"Ab","3","Bacteroides",0.0585381659278152
"Ab","3","Bifidobacterium",0.130353774500594
"Ab","3","Bosea",0.0362670938173688
"Ab","3","Bradyrhizobium",0.0205383430577834
"Ab","3","Corynebacterium",0.0635382678026518
"Ab","3","Mesorhizobium",0.065964987909336
"Ab","3","Microbacterium",0.10328835734369
"Ab","3","Parafannyhessea",0.0893075461194964
"Ab","3","Ralstonia",0.0320145222918263
"Ab","3","Sphingomonas",0.0149046337327456
"Ab","3","Streptococcus",0.00451221746018515
"Ab","5","Alistipes",0.00172055958628876
"Ab","5","Bacteroides",0.0014881581349247
"Ab","5","Bifidobacterium",0.00642486324973307
"Ab","5","Bosea",0.0675760613638197
"Ab","5","Bradyrhizobium",0.0465361366093611
"Ab","5","Corynebacterium",0.0819887334957754
"Ab","5","Mesorhizobium",0.154538695523565
"Ab","5","Microbacterium",0.246379376755161
"Ab","5","Parafannyhessea",0.0301300891142159
"Ab","5","Ralstonia",0.0613536918462723
"Ab","5","Sphingomonas",0.0313690442240445
"Ab","5","Streptococcus",0.00010519493835816
"Ab","7","Alistipes",0.0202600654297141
"Ab","7","Bacteroides",0.00755700753787604
"Ab","7","Bifidobacterium",0.00710228882113699
"Ab","7","Bosea",0.0727091067088151
"Ab","7","Bradyrhizobium",0.0442812161660532
"Ab","7","Corynebacterium",0.0252861640700963
"Ab","7","Mesorhizobium",0.151222516091462
"Ab","7","Microbacterium",0.250794490571241
"Ab","7","Parafannyhessea",0.0357742308579253
"Ab","7","Ralstonia",0.0735253493587712
"Ab","7","Sphingomonas",0.0346205081183068
"Ab","7","Streptococcus",0.00315773132498269
"Ab","9","Alistipes",0.0312468501076212
"Ab","9","Bacteroides",0.0270192377254878
"Ab","9","Bifidobacterium",0.019706296387035
"Ab","9","Bosea",0.0402218847485311
"Ab","9","Bradyrhizobium",0.0288854378604274
"Ab","9","Corynebacterium",0.0950408883236743
"Ab","9","Mesorhizobium",0.0978589611835184
"Ab","9","Microbacterium",0.165046111588739
"Ab","9","Parafannyhessea",0.0630272590010031
"Ab","9","Ralstonia",0.0427797814304949
"Ab","9","Sphingomonas",0.0214525903541481
"Ab","9","Streptococcus",0.0010946851706166
"No","1","Alistipes",0.00138535897789194
"No","1","Bacteroides",0.035079097145027
"No","1","Bifidobacterium",0.0177491228512673
"No","1","Bosea",0.0587971968906614
"No","1","Bradyrhizobium",0.0342993818340597
"No","1","Corynebacterium",0.0484417985073969
"No","1","Mesorhizobium",0.105946355053613
"No","1","Microbacterium",0.185117420630497
"No","1","Parafannyhessea",0.002536167619811
"No","1","Ralstonia",0.0470721918102431
"No","1","Sphingomonas",0.0263277324699429
"No","1","Streptococcus",0.00327040417368209
"No","11","Alistipes",0.0244179983493612
"No","11","Bacteroides",0.00839151168647557
"No","11","Bifidobacterium",0.0150637594803823
"No","11","Bosea",0.0697709446916149
"No","11","Bradyrhizobium",0.0454435069191955
"No","11","Corynebacterium",0.0282913950722965
"No","11","Mesorhizobium",0.135869240136808
"No","11","Microbacterium",0.255710117851805
"No","11","Parafannyhessea",0.0452389197607969
"No","11","Ralstonia",0.0704939545611796
"No","11","Sphingomonas",0.0340606719622652
"No","11","Streptococcus",0.0132130607550863
"No","13","Alistipes",0.0788738425089361
"No","13","Bacteroides",0.0861911825640113
"No","13","Bifidobacterium",0.0232010105799786
"No","13","Bosea",7.2672071315526e-05
"No","13","Bradyrhizobium",0.00162754589285241
"No","13","Corynebacterium",0.0454171777415248
"No","13","Mesorhizobium",0.00243843474649169
"No","13","Microbacterium",0.0249571554853733
"No","13","Parafannyhessea",0.0861939584074178
"No","13","Ralstonia",0.00177188189428592
"No","13","Sphingomonas",0.00349700262461681
"No","13","Streptococcus",0.32087316114031
"No","15","Alistipes",0.0652639083061304
"No","15","Bacteroides",0.0397650696274763
"No","15","Bifidobacterium",0.0444345485578469
"No","15","Bosea",0
"No","15","Bradyrhizobium",3.44922737306843e-05
"No","15","Corynebacterium",0.0493161577346889
"No","15","Mesorhizobium",0.00216728889998756
"No","15","Microbacterium",0.0269330744804662
"No","15","Parafannyhessea",0.0681375514460929
"No","15","Ralstonia",0.00130653758446019
"No","15","Sphingomonas",0.00366472626793099
"No","15","Streptococcus",0.2364842994059
"No","3","Alistipes",0.00763849209685655
"No","3","Bacteroides",0.0212204258030672
"No","3","Bifidobacterium",0.0694948046679692
"No","3","Bosea",0.0385668022458293
"No","3","Bradyrhizobium",0.017827055752131
"No","3","Corynebacterium",0.0862720770451076
"No","3","Mesorhizobium",0.0735826739361216
"No","3","Microbacterium",0.171046749058909
"No","3","Parafannyhessea",0.019717086069026
"No","3","Ralstonia",0.0744517998038286
"No","3","Sphingomonas",0.0218061816459905
"No","3","Streptococcus",0.014905161842249
"No","5","Alistipes",0.000963324803424318
"No","5","Bacteroides",0.0106571844296098
"No","5","Bifidobacterium",0.00634085737421224
